task,layer,probe,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,per_fold_acc,per_fold_auroc,n
3-class (A/B/C),23,linear,0.6675,0.0196,0.5833,0.0199,0.8261,0.0232,"0.674,0.637,0.692,0.681,0.654","0.829,0.848,0.854,0.801,0.798",2000
3-class (A/B/C),22,mlp,0.7325,0.0173,0.5867,0.0277,0.8225,0.0228,"0.712,0.714,0.757,0.743,0.737","0.812,0.808,0.866,0.803,0.824",2000
Binary bypass,10,linear,0.795,0.0262,0.7773,0.0258,0.846,0.0226,"0.748,0.815,0.789,0.799,0.823","0.824,0.865,0.827,0.834,0.881",2000
Binary bypass,10,mlp,0.793,0.0137,0.7607,0.0145,0.8289,0.0195,"0.773,0.802,0.789,0.787,0.813","0.813,0.860,0.825,0.806,0.841",2000
Binary faithful,22,linear,0.76,0.0231,0.6283,0.0254,0.7796,0.034,"0.735,0.741,0.800,0.757,0.767","0.743,0.744,0.814,0.824,0.772",2000
Binary faithful,24,mlp,0.8615,0.0146,0.5595,0.024,0.7076,0.0277,"0.868,0.868,0.868,0.872,0.833","0.658,0.716,0.720,0.740,0.704",2000
